ID,title,author_surname,author_name,curator_surname,curator_name,institution_name,institution_lat,institution_lng,located_at,location_geonames_id,location_lat,location_lng,part_of,institution_website,date,language,URL,epoch,branch,writing_support,facsimiles,advanced_search,index,glossary,encoding,download,creative_commons_license,,
29,"
Stephanus Galdeti: Contra scismaticos Pars 3",Galdeti,Stephanus,Maga,Mihai,Babeș-Bolyai University,46.76938,23.58997,Cluj-Napoca,686963,46.77,23.59,Romania,https://www.ubbcluj.ro/en/,2024,"""LAT""",https://www.dhcluj.ro/digitaleditions/,Medieval,"Moral Philosophy, Philosophy of Religion","Manuscript, Book",yes,yes,no,no,XML-TEI,only image,not provided,,
30,"Guillelmus Autissiodorensis, Summa de officiis ecclesiasticis. Kritisch-digitale Erstausgabe",d’Auxerre,Guglielmo,Fischer,Franz ,Cologne Center for eHumanities / Institut für Dokumentologie und Editorik,50.9413,6.9583,Cologne,2921044,50.9375,6.9603,Germany,https://cceh.uni-koeln.de,2000,"""LAT""",https://guillelmus.uni-koeln.de/tcrit/tcrit_prologus,Medieval,"Moral Philosophy, Philosophy of Religion",Manuscript,yes,yes,yes,yes, partly,no,yes,,
31,"
Hannah Arendt. Kritische Gesamtausgabe",Arendt,Hannah,Gerlach,Hannah,Freie Universität Berlin,52.4525,13.3153,Berlin,2950159,52.52,13.405,Germany,https://www.fu-berlin.de,2023,"""GER, ENG""",https://hannah-arendt-edition.net/home?lang=de,Contemporary,"Political Philosophy, Ethics, Practical Philosophy, Philosophy of History","Manuscript, Typoscript, Book",yes,yes,yes,no,XML-TEI,no,yes,,
31,"
Hannah Arendt. Kritische Gesamtausgabe",Arendt,Hannah,Kieslich,Ingo,Freie Universität Berlin,52.4525,13.3153,Berlin,2950159,52.52,13.405,Germany,https://www.fu-berlin.de,2023,"""GER, ENG""",https://hannah-arendt-edition.net/home?lang=de,Contemporary,"Political Philosophy, Ethics, Practical Philosophy, Philosophy of History","Manuscript, Typoscript, Book",yes,yes,yes,no,XML-TEI,no,yes,,
32,Ludvig Holbergs Skrifter,Holbergs,Ludvig,Vinje,Eiliv,Society for Danish Language and Literature / University of Bergen,59.9139,10.7522,Bergen/Kopenhagen,3161732,60.39299,5.32415,Norway/Denmark,https://www.uib.no/en,2015,"""DAN""",http://holbergsskrifter.dk/,Modern,"Practical Philosophy, Ethics, Aesthetics, Political Philosophy","Works, letter",yes,yes,no,no,XML-TEI,no,,,
32,Ludvig Holbergs Skrifter,Holbergs,Ludvig,Zeeberg,Peter,Society for Danish Language and Literature / University of Bergen,59.9139,10.7522,Bergen/Kopenhagen,3161732,60.39299,5.32415,Norway/Denmark,https://www.uib.no/en,2015,"""DAN""",http://holbergsskrifter.dk/,Modern,"Practical Philosophy, Ethics, Aesthetics, Political Philosophy","Works, letter",yes,yes,no,no,XML-TEI,no,,,
32,Ludvig Holbergs Skrifter,Holbergs,Ludvig,Skovgaard-Petersen,Karen,Society for Danish Language and Literature / University of Bergen,59.9139,10.7522,Bergen/Kopenhagen,3161732,60.39299,5.32415,Norway/Denmark,https://www.uib.no/en,2015,"""DAN""",http://holbergsskrifter.dk/,Modern,"Practical Philosophy, Ethics, Aesthetics, Political Philosophy","Works, letter",yes,yes,no,no,XML-TEI,no,,,
33,"
Hugh of Saint Victor's De quinque septenis (On the Five Sevens) and Its Versification in Samuel Presbiter's De oratione dominica (On the Lord's Prayer)",Victor,Hugh of Saint,Dunning,Andrew,University of Oxford,51.754816,1.254367,Oxford,2640729,51.75202,-1.25773,United Kingdom,https://www.ox.ac.uk/,2016,"""LAT""",http://scholarlyediting.org/2016/editions/intro.dunning.html,Medieval,"Philosophy of Religion, Moral Philosophy",Manuscript,yes,no,no,no,XML-TEI,yes,yes,,
34,"
Anonymus Magister Artium Pragensis: Recommendationes Recommendatio baccalaureorum artium: Invitati ascendant",Presbiter,Samuel,Maga,Mihai,Babeș-Bolyai University,46.769379,23.589954,Cluj-Napoca,686963,46.77121,23.62364,Romania,https://www.ubbcluj.ro/en/,2020,"""LAT""",https://www.dhcluj.ro/digitaleditions/?file=APRIA,Medieval,Practical Philosophy,Manuscript,yes,yes,no,no,XML-TEI,only image,not provided,,
35,The Greek Bible in Byzantine Judaism,,,Lange,Nicholas de,University of Cambridge / Centre for Computing in the Humanities (CCH),52.204267,0.114908,Cambridge,52.20534,0.12182,0.12182,United Kingdom,https://www.cam.ac.uk/,2010,,https://www.gbbj.org/,Medieval,"Philosophy of Religion, History of Philosophy",Manuscript,yes,yes,yes,yes,HTML/XML,no,yes,,
35,The Greek Bible in Byzantine Judaism,,,Short,Harold,University of Cambridge / Centre for Computing in the Humanities (CCH),52.204267,0.114908,Cambridge,52.20534,0.12182,0.12182,United Kingdom,https://www.cam.ac.uk/,2010,,https://www.gbbj.org/,Medieval,"Philosophy of Religion, History of Philosophy",Manuscript,yes,yes,yes,yes,HTML/XML,no,yes,,
36,"
Kritische Gesamtausgabe der Schriften und Briefe Andreas Bodensteins von Karlstadt",,,Kaufmann,Thomas,Herzog August Bibliothek Wolfenbüttel,52.1649,10.5417,Wolfenbüttel,2806914,52.1649,10.5417,Germany,https://www.hab.de/,2012,"""LAT; GER""",http://diglib.hab.de/edoc/ed000216/start.htm,Modern,Philosophy of Religion,"Works, letters",no,no,yes,no,XML-TEI,yes,not provided,,
37,Lucula noctis Project,Bodenstein von Karlstadt,Andreas,Nighman,Chris,Wilfrid Laurier University,43.4668,-80.5228,"Waterloo, Ontario",6173331,43.4668,-80.5164,Canada,https://www.wlu.ca/,2015,"""LAT""",http://web.wlu.ca/history/cnighman/LN/index.html,Medieval,Philosophy of Religion,Manuscript,no,no,no,no,HTML/XML,no,yes,,
38,"
Montedite - Édition en ligne des pensées de Montesquieu",Dominic,Iohannes,Dornier,Carole,Presses universitaires de Caen,49.182863,-0.370679,Caen,2984370,49.182863,-0.370679,France, https://www.puc-ed.fr,2013,"""FR""",https://www.unicaen.fr/services/puc/sources/Montesquieu/,Modern,"Political Philosophy, Ethics, Philosophy of Law","Manuscript, Notebooks",yes,no,yes,no,XML-TEI,no,yes,,
39,"
Bibliothek der Neologie",,,Beutel,Albrecht,Universität Münster,51.961,7.625,Münster,2867714,51.961,7.625,Germany,https://www.uni-muenster.de/de/,2016,"""GER""",https://bdn-edition.de/,Modern,"Philosophy of Religion, Moral Philosophy, History of Philosophy",Manuscripts,no,yes,yes,no,XML-TEI,yes,yes,,
40,"
Notker III. von St. Gallen: De interpretatione. Elektronische Teiledition",Labeo,Notker,Saller,Harald,"Graduiertenkolleg Textkritik, München",48.137154,11.576124,München,2867714,48.137154,11.576124,Germany,https://www.textkritik.uni-muenchen.de/,2004,"""GER""",https://www.edkomp.uni-muenchen.de/Notker/Demo-CD/edition_frame.html,Medieval,"Philosophy of Religion, Logic, Moral Philosophy",Manuscript,no,no,no,no,HTML/XML,no,not provided,,
41,Les manuscrits arabes des lettres de Paul de Tarse,,,Schulthess,Sara,Université de Lausanne/ Vital-IT (Swiss Institute of Bioinformatics),46.5197,6.6323,Lausanne,2659994,46.5197,6.6323,Switzerland,https://www.unil.ch/unil/fr/home.html,2016,"""ARA""",https://tarsian.vital-it.ch/#folio_103r,/,"Philosophy of Religion, Philosophy of History",Manuscript,yes,no,no,no,XML-TEI,yes,yes,,
41,Les manuscrits arabes des lettres de Paul de Tarse,,,Clivaz,Claire,Université de Lausanne/ Vital-IT (Swiss Institute of Bioinformatics),46.5197,6.6323,Lausanne,2659994,46.5197,6.6323,Switzerland,https://www.unil.ch/unil/fr/home.html,2016,"""ARA""",https://tarsian.vital-it.ch/#folio_103r,/,"Philosophy of Religion, Philosophy of History",Manuscript,yes,no,no,no,XML-TEI,yes,yes,,
42,Petrus Plaoul - Editio Critica Commentarii in libris Sententiarum,Plaoul,Petrus,Witt,Jeffrey C. ,Boston College,42.3355,-71.1685,Boston ,4930956,42.3355,-71.1685,USA,https://www.bc.edu,2011,"""LAT""",https://scta.info/resource/peter-plaoul,Medieval,Philosophy of Religion,Manuscripts,no,yes,yes,yes,XML-TEI,yes,yes,,
43,Saint Patrick's Confessio,Patrick,Saint,Fischer,Franz ,Royal Irish Academy,53.339444,-6.254167,Dublin,3313829,53.333056,-6.248889,Ireland,https://www.ria.ie,2008,"""LAT""",http://www.confessio.ie/,Medieval,Philosophy of Religion,"Manuscript, Print",yes,no,no,no,XML-TEI,yes,yes,,
43,Saint Patrick's Confessio,Patrick,Saint,Harvey,Anthony ,Royal Irish Academy,53.339444,-6.254167,Dublin,3313829,53.333056,-6.248889,Ireland,https://www.ria.ie,2008,"""LAT""",http://www.confessio.ie/,Medieval,Philosophy of Religion,"Manuscript, Print",yes,no,no,no,XML-TEI,yes,yes,,
44,"
Codex Sinaiticus",,,Breay,Claire,"British Librar, National Library of Russia, St. Catherine's Monastery, Leipzig University Library",0.127676,2643743,London,2643743,51.507222,-0.1275,United Kingdom,https://www.bl.uk,2003,GRC,http://codexsinaiticus.org/en/,Ancient,"Philosophy of Religion, History of Philosophy, Moral Philosophy",Codex,yes,yes,no,no,XML-TEI,yes,not provided,,
44,"
Codex Sinaiticus",,,Seige,Leander,"British Librar, National Library of Russia, St. Catherine's Monastery, Leipzig University Library",0.127676,2643743,London,2643743,51.507222,-0.1275,United Kingdom,https://www.bl.uk,2003,GRC,http://codexsinaiticus.org/en/,Ancient,"Philosophy of Religion, History of Philosophy, Moral Philosophy",Codex,yes,yes,no,no,XML-TEI,yes,not provided,,
44,"
Codex Sinaiticus",,,Justin,Father,"British Librar, National Library of Russia, St. Catherine's Monastery, Leipzig University Library",0.127676,2643743,London,2643743,51.507222,-0.1275,United Kingdom,https://www.bl.uk,2003,GRC,http://codexsinaiticus.org/en/,Ancient,"Philosophy of Religion, History of Philosophy, Moral Philosophy",Codex,yes,yes,no,no,XML-TEI,yes,not provided,,
44,"
Codex Sinaiticus",,,Krushelnitskaya,Ekaterina,"British Librar, National Library of Russia, St. Catherine's Monastery, Leipzig University Library",0.127676,2643743,London,2643743,51.507222,-0.1275,United Kingdom,https://www.bl.uk,2003,GRC,http://codexsinaiticus.org/en/,Ancient,"Philosophy of Religion, History of Philosophy, Moral Philosophy",Codex,yes,yes,no,no,XML-TEI,yes,not provided,,
45,"
Sigismundus de Pyzdry: Principia in Sententiarum Quaestio in Principium I Sententiarum",Pyzdry,Sigismundus de,Maga,Mihai ,Babeș-Bolyai University,46.769379,23.589954,Cluj-Napoca,686963,46.77121,23.62364,Romania,https://www.ubbcluj.ro/en/,2020,"""LAT""",https://www.dhcluj.ro/digitaleditions/?file=APRIA,Medieval,"Moral Philosophy, Philosophy of Religion",Manuscript,yes,yes,no,no,XML-TEI,only image,no,,
46,"Stanislaus de Scarbimiria: Recommendacio rectoris Universitatis, Ottonis, scholastici Cracoviensis",Skarbimierz,Stanisław of ,Maga,Mihai ,Babeș-Bolyai University,46.769379,23.589954,Cluj-Napoca,686963,46.77121,23.62364,Romania,https://www.ubbcluj.ro/en/,2020,"""LAT""",https://www.dhcluj.ro/digitaleditions/?file=APRIA,Medieval,"Political Philosophy, Moral Philosophy",Manuscript,yes,yes,no,no,XML-TEI,only image,not provided,,
47,The Richard Rufus of Cornwall Project,Rufus,Richardus ,Wood ,Rega ,Stanford University,37.4275,-122.1697,Stanford,5392171,37.4275,-122.1697,USA,http://rrp.stanford.edu,2013,"""LAT""",https://rrp.stanford.edu/index.shtml,Medieval,"Metaphysics, Philosophy of Religion",Manuscripts,no,no,yes,no,XML-TEI,yes,yes,,
48,"
The Collected Letters of Bertrand Russell: An Electronic Edition",Russell,Bertrand ,Griffin,Nicholas ,McMaster University,43.2609,-79.9192,Hamilton,5969783,43.2609,-79.9192,Canada,https://www.mcmaster.ca,2006,"""ENG""",https://russell.humanities.mcmaster.ca,Contemporary,"Logic, Philosophy of Language, Epistemology, Philosophy of Mathematics, Ethics",Letters,yes,yes,yes,no,HTML/XML,no,no,,
48,"
The Collected Letters of Bertrand Russell: An Electronic Edition",Russell,Bertrand ,Chartrand,James,McMaster University,43.2609,-79.9192,Hamilton,5969783,43.2609,-79.9192,Canada,https://www.mcmaster.ca,2006,"""ENG""",https://russell.humanities.mcmaster.ca,Contemporary,"Logic, Philosophy of Language, Epistemology, Philosophy of Mathematics, Ethics",Letters,yes,yes,yes,no,HTML/XML,no,no,,
49,A Digital Comparative Edition and Partial Translation of the Shorter Chinese Saṃyukta Āgama (T.100),,,Bingenheimer,Marcus,Dharma Drum Buddhist College,25.0173,121.4628,New Taipei,1668262,25.0173,121.4628,Taiwan,https://en.bs.dila.edu.tw,2005,"""CHI/ENG""",https://bza.dila.edu.tw,Ancient,"Philosophy of Religion, Moral Philosophy, Philosophy of Culture",Collection of texts,no,no,no,no,XML-TEI,yes,yes,,
49,A Digital Comparative Edition and Partial Translation of the Shorter Chinese Saṃyukta Āgama (T.100),,,杜正民,Aming Tu,Dharma Drum Buddhist College,25.0173,121.4628,New Taipei,1668262,25.0173,121.4628,Taiwan,https://en.bs.dila.edu.tw,2005,"""CHI/ENG""",https://bza.dila.edu.tw,Ancient,"Philosophy of Religion, Moral Philosophy, Philosophy of Culture",Collection of texts,no,no,no,no,XML-TEI,yes,yes,,
50,"
schleiermacher digital: Briefwechsel, Tageskalender, Vorlesungen von Friedrich Schleiermacher 1808–1834",Schleiermacher,Friedrich Daniel Ernst ,Lüke,Isabelle,Berlin-Brandenburgische Akademie der Wissenschaften,52.52,13.4049,Berlin,2950159,52.52,13.4049,Germany,https://www.bbaw.de,2020,"""GER""",https://schleiermacher-digital.de/index.xql,Modern,"Philosophy of Religion, Moral Philosophy","Letters, daily calendar, lectures",yes,yes,yes,yes,XML-TEI,no,yes,,
50,"
schleiermacher digital: Briefwechsel, Tageskalender, Vorlesungen von Friedrich Schleiermacher 1808–1834",Schleiermacher,Friedrich Daniel Ernst ,Arndt,Andreas,Berlin-Brandenburgische Akademie der Wissenschaften,52.52,13.4049,Berlin,2950159,52.52,13.4049,Germany,https://www.bbaw.de,2020,"""GER""",https://schleiermacher-digital.de/index.xql,Modern,"Philosophy of Religion, Moral Philosophy","Letters, daily calendar, lectures",yes,yes,yes,yes,XML-TEI,no,yes,,
50,"
schleiermacher digital: Briefwechsel, Tageskalender, Vorlesungen von Friedrich Schleiermacher 1808–1834",Schleiermacher,Friedrich Daniel Ernst ,Gerber,Simon,Berlin-Brandenburgische Akademie der Wissenschaften,52.52,13.4049,Berlin,2950159,52.52,13.4049,Germany,https://www.bbaw.de,2020,"""GER""",https://schleiermacher-digital.de/index.xql,Modern,"Philosophy of Religion, Moral Philosophy","Letters, daily calendar, lectures",yes,yes,yes,yes,XML-TEI,no,yes,,
50,"
schleiermacher digital: Briefwechsel, Tageskalender, Vorlesungen von Friedrich Schleiermacher 1808–1834",Schleiermacher,Friedrich Daniel Ernst ,Schmidt,Sarah,Berlin-Brandenburgische Akademie der Wissenschaften,52.52,13.4049,Berlin,2950159,52.52,13.4049,Germany,https://www.bbaw.de,2020,"""GER""",https://schleiermacher-digital.de/index.xql,Modern,"Philosophy of Religion, Moral Philosophy","Letters, daily calendar, lectures",yes,yes,yes,yes,XML-TEI,no,yes,,
51,"Zwischen Theologie, frühmoderner Naturwissenschaft und politischer Korrespondenz: Die sozinianischen Briefwechsel",,,"Kęstutis Daugirdas, Andreas Kuczera, Julian Jarosch, Patrick Toschka",,Johannes a Lasco Bibliothek / Akademie der Wissenschaften und der Literatur,53.3673,7.2086,Emden/Mainz,2930597,53.3673,7.2086,Germany,https://www.jalb.de/22758-438-0-73.html,2021," ""GER""",https://sozinianer.mni.thm.de/home,Modern,"Philosophy of Religion, Philosophy of Science, History of Philosophy","Letters, daily calendar, lectures",yes,yes,yes,no,TEI-XML-TEI,no,yes,,
52,Corpus Thomisticum,Aquin,Thomas von ,Alarcón,Enrique ,Universidad de Navarra,42.8138,-1.6458,Pamplona,3117800,42.8138,-1.6458,Spain,https://www.unav.edu,2000,"""LAT""",https://www.corpusthomisticum.org,Medieval,"Philosophy of Religion, Metaphysics",Manuscripts,yes,yes,yes,no,HTML/XML,no,not provided,,
53,Wenzelsbibel Digital,,,Kern,Manfred ,Paris Lodron Universität Salzburg / Österreichischen Nationalbibliothek,47.8095,13.055,Salzburg,2766824,47.8095,13.055,Austria,https://www.onb.ac.at,2022,"""GER""",https://edition.onb.ac.at/fedora/objects/context:wenbibel/methods/sdef:Context/get,Medieval,Philosophy of Religion,Manuscript,yes,no,no,no,XML-TEI,no,yes,,
54,Forschungsdaten Wilhelm Windelband,Windelband,Wilhelm ,Hartung,Gerald,"Institut für Grundlagenforschung zur Philosophiegeschichte (IGP), Bergische Universität Wuppertal",51.2562,7.1508,Wuppertal,2805753,51.2562,7.1508,Germany,https://igp.uni-wuppertal.de,2022,"""GER""",https://igp.uni-wuppertal.de/de/philosophiegeschichtsschreibung-grundlagenforschung-und-methodenreflexion/philosophiehistorische-grundlagenforschung-i-wilhelm-windelband/,Contemporary,"Philosophy of History, Epistemology",Manuscript,no,no,yes,no,HTML/XML,yes,yes,,
54,Forschungsdaten Wilhelm Windelband,Windelband,Wilhelm ,Bohr,Jörn,"Institut für Grundlagenforschung zur Philosophiegeschichte (IGP), Bergische Universität Wuppertal",51.2562,7.1508,Wuppertal,2805753,51.2562,7.1508,Germany,https://igp.uni-wuppertal.de,2022,"""GER""",https://igp.uni-wuppertal.de/de/philosophiegeschichtsschreibung-grundlagenforschung-und-methodenreflexion/philosophiehistorische-grundlagenforschung-i-wilhelm-windelband/,Contemporary,"Philosophy of History, Epistemology",Manuscript,no,no,yes,no,HTML/XML,yes,yes,,
55,Wittgenstein's Nachlass - The Bergen Electronic Edition (BEE),Wittgenstein,Ludwig ,,,Intelex Corporation,38.897676,-77.03653,Charlottesville,4782977,38.0293,-78.4767,United States,http://www.nlx.com/home,1998,"""GER, ENG""",https://www.nlx.com/home,Contemporary,"Philosophy of Language, Logic, Epistemology","Manuscript, Typescript, Dictation, Notebook",no,no,no,no,XML-TEI,no,no,,
56,Wittgenstein Source,Wittgenstein,Ludwig ,Pichler,Alois ,"Wittgenstein Archives, University of Bergen",60.3894,5.3221,Bergen,3161732,60.3894,5.3221,Norway,https://www.uib.no/en,2015,"""GER""",http://www.wittgensteinsource.org,Contemporary,"Philosophy of Language, Logic, Epistemology","Manuscripts, notebooks, letters",yes,yes,no,no,XML-TEI,partialy,yes,,
57,"
Adam Wodeham - Editio Critica Electronica Ordinationis Oxoniensis",Wodeham,Adam ,,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,2013,"""LAT""",https://web.archive.org/web/20170610090514/http://adamwodeham.org/text/questions/wodehamordinatio,Medieval,Philosophy of Religion,Work,no,no,no,no,HTML/XML,no,yes,,
58,"
Huldrych Zwingli Briefe: Digitale Texte",Zwingli,Huldrych ,Moser,Christian ,Universität Zürich,47.3769,8.5417,Zürich,2657896,47.376886,8.541694,Switzerland,https://www.uzh.ch/de.html,2011,"""GER / LAT""",http://www.irg.uzh.ch/static/zwingli-briefe/,Modern,Philosophy of Religion,"Letters, Works",no,no,yes,no,HTML/XML,no,not provided,,
59,Codex Suprasliensis,,,Birnbaum,David J. ,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,2011,"""Church Slavonic""",http://suprasliensis.obdurodon.org/,Medieval,"Philosophy of Religion, History of Philosophy","Manuscript, Codex",yes,no,no,no,HTML/XML,no,not provided,,
